Jon Hovi;Philipp Broniecki;0.5075
Jon Hovi;Philipp Lutscher;0.382
Jon Hovi;Robert Huseby;0.4095
Jon Hovi;Scott Gates;0.43
Jon Hovi;Martin Søyland;0.437
Jon Hovi;Leif Erlend Kårtvedt;0.418
Jon Hovi;Tor Gaute Syrstad;0.4155
Jon Hovi;Øivind Bratberg;0.4395
Jon Hovi;Ida Weseth Bjøru;0.538
Jon Hovi;Jostein Askim;0.611
Jon Hovi;Kristoffer Kolltveit;0.5565
Jon Hovi;Anna Nordnes Helgøy;0.5405
Jon Hovi;Elin Arntzen;0.5195
Jon Hovi;Sebastian Conte;0.4095
Tom Christensen;Anne-Kathrin Kreft;0.5685
Tom Christensen;Dag Harald Claes;0.5835
Tom Christensen;Jens Jungblut;0.7505
Tom Christensen;Jon Hovi;0.4915
Tom Christensen;Tom Christensen;1.0
Tom Christensen;Dagfinn Hagen;0.7335
Tom Christensen;Jonathan Kuyper;0.586
Tom Christensen;Miroslav Nemcok;0.723
Tom Christensen;Marit Eldholm;0.744
Tom Christensen;Øyvind Colbjørnsen;0.5795
Tom Christensen;Håvard Strand;0.7855
Tom Christensen;Jen Erling Klausen;0.584
Tom Christensen;Jacob Nyrup;0.5825
Tom Christensen;Jonas Schmid;0.5725
Tom Christensen;Sverke Runde Saxegaard;0.5755
Tom Christensen;Linda Gulli;0.5875
Tom Christensen;Marina Povitkina;0.5115
Tom Christensen;Philipp Broniecki;0.6235
Tom Christensen;Philipp Lutscher;0.609
Tom Christensen;Robert Huseby;0.5075
Tom Christensen;Scott Gates;0.643
Tom Christensen;Martin Søyland;0.601
Tom Christensen;Leif Erlend Kårtvedt;0.602
Tom Christensen;Tor Gaute Syrstad;0.586
Tom Christensen;Øivind Bratberg;0.542
Tom Christensen;Ida Weseth Bjøru;0.768
Tom Christensen;Jostein Askim;0.7255
Tom Christensen;Kristoffer Kolltveit;0.7145
Tom Christensen;Anna Nordnes Helgøy;0.768
Tom Christensen;Elin Arntzen;0.697
Tom Christensen;Sebastian Conte;0.591
Dagfinn Hagen;Anne-Kathrin Kreft;0.5865
Dagfinn Hagen;Dag Harald Claes;0.6015
Dagfinn Hagen;Jens Jungblut;0.6645
Dagfinn Hagen;Jon Hovi;0.541
Dagfinn Hagen;Tom Christensen;0.7335
Dagfinn Hagen;Dagfinn Hagen;1.0
Dagfinn Hagen;Jonathan Kuyper;0.527
Dagfinn Hagen;Miroslav Nemcok;0.596
Dagfinn Hagen;Marit Eldholm;0.6145
Dagfinn Hagen;Øyvind Colbjørnsen;0.5205
Dagfinn Hagen;Håvard Strand;0.6895
Dagfinn Hagen;Jen Erling Klausen;0.52
Dagfinn Hagen;Jacob Nyrup;0.554
Dagfinn Hagen;Jonas Schmid;0.4995
Dagfinn Hagen;Sverke Runde Saxegaard;0.5015
Dagfinn Hagen;Linda Gulli;0.518
Dagfinn Hagen;Marina Povitkina;0.413
Dagfinn Hagen;Philipp Broniecki;0.5025
Dagfinn Hagen;Philipp Lutscher;0.494
Dagfinn Hagen;Robert Huseby;0.5495
Dagfinn Hagen;Scott Gates;0.568
Dagfinn Hagen;Martin Søyland;0.5855
Dagfinn Hagen;Leif Erlend Kårtvedt;0.488
Dagfinn Hagen;Tor Gaute Syrstad;0.4685
Dagfinn Hagen;Øivind Bratberg;0.4795
Dagfinn Hagen;Ida Weseth Bjøru;0.7235
Dagfinn Hagen;Jostein Askim;0.673
Dagfinn Hagen;Kristoffer Kolltveit;0.683
Dagfinn Hagen;Anna Nordnes Helgøy;0.7115
Dagfinn Hagen;Elin Arntzen;0.6315
Dagfinn Hagen;Sebastian Conte;0.5385
